,access#,line_AVF_average,line_AVF_std
11226435509.0,2.0,0.40395603,0.21519858
11226435510.0,1.0,0.03313921,0.0
40979728852.0,8.0,0.037387658,0.03019071
11226435511.0,1.0,0.03316941,0.0
11226435512.0,6.0,0.1312811,0.24021554
11226435513.0,1.0,0.033236615,0.0
11226435514.0,6.0,0.1177213,0.0439064
11226435515.0,4.0,0.1088807,0.053400747
11226435516.0,7.0,0.22608325,0.08515207
11226435517.0,5.0,0.32619637,0.22031394
11226435518.0,5.0,0.5421645,0.30184975
11226435519.0,1.0,0.033344258,0.0
11226435520.0,8.0,0.8671796,0.1958947
11226435521.0,1.0,0.11473677,0.0
11226435522.0,1.0,0.03337594,0.0
11226435523.0,1.0,0.03338715,0.0
40979728508.0,8.0,0.025441546,0.021292347
11226435524.0,29.0,0.0420988,0.019035822
11226435525.0,2.0,0.033428513,2.3567868e-06
11226435526.0,3.0,0.033463165,2.9854602e-05
11226435527.0,2.0,0.033470668,5.263703e-06
11226435529.0,8.0,0.56155443,0.3776646
11226435528.0,2.0,0.033509422,1.14530085e-05
11226435530.0,6.0,0.25877097,0.1425695
11226435531.0,5.0,0.40599158,0.053818703
11226435532.0,4.0,0.37475052,0.22760877
11226435533.0,4.0,0.31733733,0.1891481
11226435534.0,5.0,0.34991205,0.1774109
11226435535.0,1.0,0.03363334,0.0
16355949918.0,40.0,0.5538854,0.23422684
11226435536.0,2.0,0.0336709,1.559524e-05
11226435537.0,2.0,0.07403398,0.05709723
11226435538.0,1.0,0.03366186,0.0
11226435539.0,2.0,0.19764102,0.23187931
11226435540.0,1.0,0.033677854,0.0
11226435541.0,3.0,0.48354948,0.39092523
11226435542.0,5.0,0.04084703,0.0039979084
11226435543.0,3.0,0.3092091,0.47716078
11226435544.0,5.0,0.06986302,0.080747016
11226435545.0,1.0,0.03379337,0.0
19513636975.0,5.0,0.31517145,0.25258523
11226435546.0,8.0,0.48634687,0.18344471
11226435547.0,8.0,0.34628966,0.094289936
11226435548.0,1.0,0.12512201,0.0
11226435549.0,4.0,0.22430371,0.21985964
11226435550.0,1.0,0.05370461,0.0
11226435551.0,1.0,0.033923943,0.0
11226435552.0,1.0,0.033944312,0.0
11226435553.0,1.0,0.033952158,0.0
11226435554.0,4.0,0.03627908,0.004309658
11226435555.0,29.0,0.042257737,0.019159174
11226435556.0,3.0,0.3058729,0.47090834
11226435557.0,5.0,0.07011822,0.08070533
53250271477.0,8.0,0.024531692,0.020631278
23796185142.0,4.0,0.20267758,0.11252474
29305824344.0,8.0,0.14448231,0.079442255
40979728455.0,5.0,0.11406309,0.08937735
19513637003.0,8.0,0.28071806,0.21389657
19513637004.0,5.0,0.26354176,0.22532602
11226435558.0,4.0,0.036493365,0.0042415857
11226435559.0,8.0,0.57741904,0.28069115
11226435560.0,5.0,0.07030639,0.08070594
11226435561.0,1.0,0.034233328,0.0
11226435562.0,34.0,0.0453225,0.022052702
11226435563.0,2.0,0.6426399,0.47141623
11226435564.0,2.0,0.45380118,6.264966e-06
11226435565.0,3.0,0.034353465,1.2965268e-05
11226435566.0,2.0,0.08726393,0.074820176
11226435567.0,1.0,0.034359522,0.0
55614027552.0,3.0,0.3040869,0.27640018
11226435568.0,2.0,0.03439156,6.403559e-06
11226435569.0,3.0,0.33123994,0.36396578
11226435570.0,2.0,0.19252877,0.22360638
11226435571.0,3.0,0.057988964,0.040775973
11226435572.0,6.0,0.064569026,0.073636174
11226435573.0,2.0,0.03451814,3.1897587e-06
23796184900.0,4.0,0.2951877,0.33321032
29305824542.0,3.0,0.31948206,0.12250761
11226435574.0,1.0,0.034616824,0.0
11226435575.0,1.0,0.034628034,0.0
11226435576.0,1.0,0.034641266,0.0
11226435577.0,1.0,0.03465248,0.0
12954820943.0,59.0,0.39620417,0.24798387
11226435578.0,2.0,0.03467524,8.618925e-06
11226435579.0,3.0,0.45334414,0.39964902
26144142531.0,8.0,0.10491416,0.17565396
11226435580.0,32.0,0.043713145,0.020847443
11226435581.0,5.0,0.531185,0.4532125
11226435582.0,6.0,0.06482165,0.0736047
11226435583.0,2.0,0.034755304,8.572256e-06
11226435584.0,1.0,0.03478924,0.0
58691864695.0,4.0,0.02453789,0.030621951
55614027519.0,4.0,0.03293908,0.025426563
40979728573.0,8.0,0.0706855,0.034449007
11226435585.0,1.0,0.19671117,0.0
11226435586.0,1.0,0.8271559,0.0
11226435587.0,1.0,0.4896605,0.0
11226435588.0,2.0,0.82718575,1.4382552e-05
11226435589.0,1.0,0.5642636,0.0
